[2026-02-05T07:32:57.476Z] Params: Div=BMS, Comp=Almoayyed Air Conditioning
[2026-02-05T07:34:55.117Z] Params: Div=BMS, Comp=Almoayyed Air Conditioning
[2026-02-05T07:36:54.152Z] Params: Div=BMS, Comp=Almoayyed Air Conditioning
[2026-02-05T07:38:31.979Z] Params: Div=null, Comp=null
[2026-02-05T07:38:32.151Z] Params: Div=BMS, Comp=Almoayyed Air Conditioning
[2026-02-05T07:39:35.399Z] Params: Div=BMS, Comp=Almoayyed Air Conditioning
[2026-02-05T07:40:16.676Z] Params: Div=BMS, Comp=Almoayyed Air Conditioning
[2026-02-05T07:40:18.007Z] Params: Div=null, Comp=null
[2026-02-05T07:40:18.354Z] Params: Div=BMS, Comp=Almoayyed Air Conditioning
[2026-02-05T07:42:44.356Z] Params: Div=BMS, Comp=Almoayyed Air Conditioning
